epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,13769.4,1.48454,0.718,0.95805,0,0,0,0,0,0,0,0.000390934,0.000390934,0.000390934
59,13948,1.47614,0.71386,0.95814,0,0,0,0,0,0,0,0.000375661,0.000375661,0.000375661
60,14290.3,1.46817,0.70705,0.95836,0,0,0,0,0,0,0,0.000360511,0.000360511,0.000360511
61,14453,1.47888,0.71275,0.95907,0,0,0,0,0,0,0,0.000345498,0.000345498,0.000345498
62,14629.1,1.45954,0.70579,0.95792,0,0,0,0,0,0,0,0.000330638,0.000330638,0.000330638
63,14786,1.4664,0.70985,0.95792,0,0,0,0,0,0,0,0.000315945,0.000315945,0.000315945
64,189.613,1.45774,0.69902,0.95583,0.84671,0.59435,0.66259,0.35285,1.41283,0.63243,0.97469,0.000301433,0.000301433,0.000301433
65,439.435,1.45804,0.70026,0.95523,0.84597,0.59493,0.66302,0.35313,1.41262,0.6317,0.97456,0.000287117,0.000287117,0.000287117
66,898.172,1.46724,0.70226,0.95561,0.84579,0.59493,0.66259,0.35298,1.41228,0.63112,0.97433,0.000273012,0.000273012,0.000273012
67,1049.45,1.4545,0.69685,0.95356,0.84614,0.59501,0.66251,0.35302,1.41174,0.63028,0.97412,0.000259131,0.000259131,0.000259131
68,1199.73,1.4502,0.69377,0.95466,0.84636,0.59483,0.66234,0.35285,1.412,0.63013,0.9742,0.000245487,0.000245487,0.000245487
69,1356.33,1.46196,0.69711,0.95408,0.84693,0.59348,0.66188,0.35281,1.41195,0.62968,0.97417,0.000232094,0.000232094,0.000232094
70,1511.09,1.44646,0.69129,0.95366,0.84695,0.59425,0.66225,0.35297,1.41213,0.62954,0.97425,0.000218966,0.000218966,0.000218966
71,1662.24,1.45194,0.69104,0.95413,0.84792,0.59433,0.66272,0.35327,1.41227,0.62911,0.97452,0.000206115,0.000206115,0.000206115
72,1813.75,1.44229,0.68999,0.95393,0.84761,0.59513,0.66299,0.35339,1.4126,0.62916,0.97463,0.000193555,0.000193555,0.000193555
73,1962.25,1.44634,0.68767,0.95309,0.84882,0.59521,0.66344,0.3536,1.41251,0.6289,0.97456,0.000181296,0.000181296,0.000181296
74,2111.76,1.45177,0.68994,0.95148,0.8474,0.59634,0.66365,0.35368,1.41257,0.62892,0.97455,0.000169352,0.000169352,0.000169352
75,2309.02,1.44834,0.68896,0.9496,0.84857,0.59555,0.66358,0.35361,1.41271,0.6287,0.97457,0.000157735,0.000157735,0.000157735
76,2456.87,1.45219,0.68836,0.95105,0.84848,0.59583,0.6636,0.35372,1.41281,0.62861,0.97458,0.000146455,0.000146455,0.000146455
77,2609.84,1.43749,0.6832,0.9493,0.8487,0.59539,0.66357,0.35364,1.41306,0.62856,0.97467,0.000135524,0.000135524,0.000135524
78,2766.86,1.44571,0.68375,0.94963,0.84918,0.59516,0.66364,0.35379,1.41292,0.62842,0.9747,0.000124953,0.000124953,0.000124953
79,2954.85,1.43544,0.67951,0.95166,0.84915,0.59549,0.66387,0.354,1.4129,0.62825,0.97462,0.000114752,0.000114752,0.000114752
80,3330.76,1.42986,0.67773,0.9488,0.84969,0.59498,0.66394,0.35394,1.41293,0.62815,0.97457,0.000104931,0.000104931,0.000104931
81,3485.68,1.43215,0.67657,0.94733,0.84961,0.59529,0.66391,0.354,1.41303,0.62787,0.97459,9.55005e-05,9.55005e-05,9.55005e-05
82,3655.48,1.4389,0.67866,0.9486,0.85005,0.59508,0.66412,0.3541,1.41295,0.6278,0.97454,8.64688e-05,8.64688e-05,8.64688e-05
83,3845.03,1.44389,0.68121,0.94637,0.85118,0.59458,0.66411,0.35393,1.41308,0.62768,0.97454,7.78453e-05,7.78453e-05,7.78453e-05
84,3998.67,1.4276,0.67047,0.94873,0.85128,0.59478,0.66407,0.3538,1.41311,0.62762,0.97456,6.96383e-05,6.96383e-05,6.96383e-05
85,4219.85,1.43395,0.67685,0.94665,0.85175,0.59468,0.66413,0.35389,1.4132,0.62765,0.97462,6.1856e-05,6.1856e-05,6.1856e-05
86,4376.9,1.42245,0.67115,0.9479,0.85102,0.59486,0.66406,0.35373,1.41315,0.62762,0.97463,5.45062e-05,5.45062e-05,5.45062e-05
87,4531.55,1.43304,0.67323,0.94542,0.84967,0.59557,0.66428,0.35391,1.41293,0.62726,0.97461,4.7596e-05,4.7596e-05,4.7596e-05
88,4685.27,1.42701,0.67484,0.94816,0.85078,0.59486,0.6641,0.35398,1.41331,0.62736,0.97472,4.11323e-05,4.11323e-05,4.11323e-05
89,4836.25,1.43259,0.67608,0.94561,0.85118,0.59516,0.66437,0.35407,1.41326,0.6273,0.97471,3.51214e-05,3.51214e-05,3.51214e-05
90,4990.29,1.42349,0.67071,0.94789,0.85123,0.59498,0.66396,0.3539,1.41337,0.62717,0.97474,2.95693e-05,2.95693e-05,2.95693e-05
91,5154.44,1.38728,0.64482,0.95613,0.84967,0.59561,0.66392,0.35383,1.41338,0.62732,0.97478,2.44815e-05,2.44815e-05,2.44815e-05
92,5311.76,1.38192,0.63966,0.95406,0.84979,0.59544,0.66389,0.35375,1.41341,0.62733,0.97489,1.9863e-05,1.9863e-05,1.9863e-05
93,5463.82,1.37854,0.63585,0.95505,0.84896,0.59529,0.66367,0.35381,1.41356,0.62734,0.97493,1.57183e-05,1.57183e-05,1.57183e-05
94,5613.58,1.37801,0.63605,0.95177,0.8493,0.59516,0.66356,0.35376,1.41363,0.62731,0.97499,1.20515e-05,1.20515e-05,1.20515e-05
95,5766.91,1.37756,0.63725,0.9533,0.84871,0.59516,0.66335,0.35375,1.41376,0.6273,0.97501,8.86629e-06,8.86629e-06,8.86629e-06
96,5924.38,1.38347,0.63583,0.95248,0.84934,0.59518,0.66337,0.35384,1.41394,0.62732,0.97508,6.16577e-06,6.16577e-06,6.16577e-06
97,6082.02,1.37356,0.63484,0.95504,0.84972,0.59513,0.66341,0.35394,1.41403,0.62736,0.9751,3.95261e-06,3.95261e-06,3.95261e-06
98,6237.98,1.37439,0.63529,0.95237,0.84997,0.59513,0.66345,0.35389,1.41409,0.62746,0.97517,2.229e-06,2.229e-06,2.229e-06
99,6390.98,1.37969,0.63551,0.95283,0.84992,0.59489,0.66331,0.35385,1.41426,0.62738,0.97522,9.96626e-07,9.96626e-07,9.96626e-07
100,6544.62,1.37648,0.63598,0.9511,0.8494,0.59536,0.66349,0.35394,1.41418,0.62744,0.97532,2.56717e-07,2.56717e-07,2.56717e-07
