t,connectedPlugins,allowedPlugins,uptimeMs,framerate,MouthOpen,FaceAngleX,FaceAngleY,EyeOpenLeft,EyeLeftX,error
0.0000,2,1,8509036,59,0.196429,6.25427,-11.2995,0,-0.126157,
0.2970,2,1,8509036,59,0.247309,6.0992,-11.3931,0,-0.135151,
0.5780,2,1,8509036,59,0.271481,6.17249,-11.0863,0,-0.159634,
0.8590,2,1,8509036,59,0.238623,6.37218,-10.8638,0.37651,-0.183187,
1.1560,2,1,8510186,59,0.233891,6.40243,-11.022,0.502988,-0.184373,
1.4530,2,1,8510186,59,0.169124,6.47736,-11.008,0.500214,-0.184305,
1.7340,2,1,8510186,59,0.165635,6.42285,-11.1347,0.472803,-0.178015,
2.0310,2,1,8510186,59,0.218564,6.44979,-11.2152,0.464094,-0.172059,
2.3130,2,1,8511353,59,0.19484,6.27632,-11.4038,0.469929,-0.166127,
2.6250,2,1,8511353,59,0.20489,6.21734,-11.448,0.488726,-0.151811,
2.9060,2,1,8511353,59,0.160984,6.09492,-11.5716,0.411535,-0.131645,
3.1880,2,1,8511353,59,0.0857504,6.24892,-11.411,0,-0.096408,
3.4690,2,1,8512504,59,0.0839955,6.13122,-11.736,0,-0.103954,
3.7660,2,1,8512504,59,0.0770977,6.18811,-11.8664,0,-0.0896293,
4.0470,2,1,8512504,59,0.116952,6.28658,-12.1107,0,-0.0984266,
4.3280,2,1,8512504,59,0.0999607,6.4008,-12.16,0.0635339,-0.0964198,
4.6090,2,1,8513654,59,0.0832439,6.5709,-12.2149,0.0825665,-0.0702425,
4.9220,2,1,8513654,59,0.115289,6.21509,-12.4905,0.0944164,-0.0819532,
5.2030,2,1,8513654,59,0.106661,6.06918,-12.4376,0,-0.0977085,
5.4840,2,1,8513654,59,0.10908,5.92648,-12.2411,0,-0.0877118,
5.7660,2,1,8514788,59,0.114443,5.88427,-12.2781,0,-0.0742953,
6.0470,2,1,8514788,59,0.171877,5.43426,-12.3316,0,-0.0748239,
6.3280,2,1,8514788,59,0.172838,5.19508,-12.3886,0.290045,-0.107176,
6.6250,2,1,8514788,59,0.157544,4.83204,-12.2864,0.576629,-0.125894,
6.9060,2,1,8515924,59,0.1585,4.77013,-12.4203,0.595465,-0.135777,
7.1880,2,1,8515924,59,0.176973,4.82241,-12.9041,0.457975,-0.101238,
7.4690,2,1,8515924,59,0.142005,4.63941,-12.9051,0.47232,-0.119194,
7.7500,2,1,8515924,59,0.140912,4.4708,-12.8368,0.481136,-0.113167,
8.0470,2,1,8517075,59,0.166958,4.39119,-12.7373,0.466835,-0.122888,
8.3440,2,1,8517075,59,0.145994,4.17927,-12.7758,0.415309,-0.129176,
8.6250,2,1,8517075,59,0.129266,4.28783,-13.0961,0.441339,-0.119202,
8.9060,2,1,8517075,59,0.107747,4.15196,-13.0833,0.420226,-0.121134,
9.1880,2,1,8518225,59,0.101576,4.23646,-13.0965,0.238256,-0.0968511,
9.4840,2,1,8518225,59,0.100127,4.41211,-13.0797,0.313632,-0.109942,
9.7660,2,1,8518225,59,0.134029,4.41079,-13.4666,0.3549,-0.108092,
10.0630,2,1,8518225,59,0.1235,4.3386,-13.5128,0.353422,-0.112944,
10.3440,2,1,8519375,59,0.137271,4.26273,-13.6405,0.377767,-0.118006,
10.6410,2,1,8519375,59,0.0989275,4.24501,-13.4634,0.397737,-0.0942083,
10.9220,2,1,8519375,59,0.109918,4.41466,-13.6264,0.38904,-0.101095,
11.2030,2,1,8519375,59,0.101428,4.13376,-13.7572,0.390769,-0.116392,
11.4840,2,1,8520526,59,0.134268,4.07208,-13.7051,0.416587,-0.126437,
11.7970,2,1,8520526,59,0.0944293,3.90163,-13.8408,0.439737,-0.146455,
