t,connectedPlugins,allowedPlugins,uptimeMs,framerate,MouthOpen,FaceAngleX,FaceAngleY,EyeOpenLeft,EyeLeftX,error
0.0000,2,1,8230622,59,0,0,0,1,0,
0.4060,2,1,8230622,59,0,0,0,1,0,
0.7970,2,1,8230622,59,0,0,0,1,0,
1.1720,2,1,8231789,59,0,0,0,1,0,
1.5780,2,1,8231789,59,0,0,0,1,0,
1.9530,2,1,8231789,59,0,0,0,1,0,
2.3440,2,1,8232956,59,0,0,0,1,0,
2.7350,2,1,8232956,59,0,0,0,1,0,
3.1250,2,1,8232956,59,0,0,0,1,0,
3.5160,2,1,8234123,59,0,0,0,1,0,
3.9060,2,1,8234123,59,0,0,0,1,0,
4.2970,2,1,8234123,59,0,0,0,1,0,
4.6720,2,1,8235290,59,0,0,0,1,0,
5.0780,2,1,8235290,59,0,0,0,1,0,
5.4530,2,1,8235290,59,0,0,0,1,0,
5.8440,2,1,8236457,59,0,0,0,1,0,
6.2500,2,1,8236457,59,0,0,0,1,0,
6.6250,2,1,8236457,59,0,0,0,1,0,
7.0160,2,1,8237623,59,0,0,0,1,0,
7.4060,2,1,8237623,59,0,0,0,1,0,
7.7970,2,1,8237623,59,0,0,0,1,0,
8.1720,2,1,8238790,59,0,0,0,1,0,
8.5780,2,1,8238790,59,0,0,0,1,0,
8.9530,2,1,8238790,59,0,0,0,1,0,
9.3440,2,1,8239957,59,0,0,0,1,0,
9.7500,2,1,8239957,59,0,0,0,1,0,
10.1250,2,1,8239957,59,0,0,0,1,0,
10.5160,2,1,8241109,59,0,0,0,1,0,
10.8910,2,1,8241109,59,0,0,0,1,0,
11.2810,2,1,8241109,59,0,0,0,1,0,
11.6560,2,1,8242274,59,0,0,0,1,0,
12.0630,2,1,8242274,59,0,0,0,1,0,
12.4380,2,1,8242274,59,0,0,0,1,0,
12.8280,2,1,8243442,59,0,0,0,1,0,
13.2350,2,1,8243442,59,0,0,0,1,0,
13.6100,2,1,8243442,59,0,0,0,1,0,
14.0000,2,1,8244608,59,0,0,0,1,0,
14.3910,2,1,8244608,59,0,0,0,1,0,
14.7810,2,1,8244608,59,0,0,0,1,0,
15.1560,2,1,8245775,59,0,0,0,1,0,
15.5630,2,1,8245775,59,0,0,0,1,0,
15.9220,2,1,8245775,59,0,0,0,1,0,
16.3130,2,1,8246926,59,0,0,0,1,0,
16.7190,2,1,8246926,59,0,0,0,1,0,
17.0940,2,1,8246926,59,0,0,0,1,0,
17.4850,2,1,8248092,59,0,0,0,1,0,
17.8750,2,1,8248092,59,0,0,0,1,0,
18.2660,2,1,8248092,59,0,0,0,1,0,
18.6410,2,1,8249259,59,0,0,0,1,0,
19.0470,2,1,8249259,59,0,0,0,1,0,
19.4220,2,1,8249259,59,0,0,0,1,0,
19.8130,2,1,8250426,59,0,0,0,1,0,
