t,connectedPlugins,allowedPlugins,uptimeMs,framerate,MouthOpen,FaceAngleX,FaceAngleY,EyeOpenLeft,EyeLeftX,error
0.0000,2,1,8493350,59,0.222985,-0.417129,3.10616,0.798672,-0.130345,
0.4060,2,1,8493350,59,0.201825,1.21543,3.05812,0.237076,-0.02159,
0.7810,2,1,8493350,59,0.188736,-0.759473,2.65411,0.761125,-0.0202262,
1.1710,2,1,8494517,59,0.19325,-1.77708,3.10616,0.854998,0.00411842,
1.5620,2,1,8494517,59,0.253215,-0.715719,3.28954,0.891578,-0.0251345,
1.9530,2,1,8494517,59,0.272005,-0.00428547,3.22015,0.85073,-0.0514548,
2.3280,2,1,8495684,59,0.223542,-2.6637,2.54271,0.825029,-0.110333,
2.7340,2,1,8495684,59,0.183028,-3.86868,3.5689,0.809269,-0.0649559,
3.1250,2,1,8495684,59,0.221291,-3.0282,3.88544,0.852956,-0.0613202,
3.5000,2,1,8496851,59,0.255523,-2.278,3.83752,0.834145,-0.0604301,
3.9060,2,1,8496851,59,0.0920309,-2.14877,5.40558,0.277068,-0.00110914,
4.2810,2,1,8496851,59,0.128149,0.404393,2.47502,0.896688,-0.0521056,
4.6710,2,1,8498018,59,0.326804,0.563545,-1.32008,0.862498,-0.0585663,
5.0620,2,1,8498018,59,0.30505,0.447336,-3.83596,0.812348,-0.0766757,
5.4370,2,1,8498018,59,0.275789,-0.570784,-3.49358,0.857015,-0.0662382,
5.8280,2,1,8499169,59,0.313981,-0.761977,0.203754,0.78401,-0.0554749,
6.2180,2,1,8499169,59,0.287092,-0.0230236,2.65515,0.768113,-0.0774418,
6.6090,2,1,8499169,59,0.2455,0.890097,2.64179,0.782266,-0.0518826,
6.9840,2,1,8500336,59,0.202155,0.523261,1.6223,0.695,0.0630511,
7.3900,2,1,8500336,59,0.324347,1.15677,2.62765,0.862861,-0.0764051,
7.7650,2,1,8500336,59,0.258264,2.27152,5.72101,0.867192,-0.117397,
